data,perfil,dia,fonte,posicao,titulo,canal,url,duracao,publicado,views,tema
21/02/2026,P1,1,HOME,1,BATEU O DESESPERO - LULA recebe pesquisas internas mostrando Flavio na frente,Gustavo Gayer Deputado Federal,https://youtu.be/9m9cLQuVMV4?si=US-q9PnCfA0fo1xk,05:59,21/02/2026,47000,POLITICA
21/02/2026,P1,1,HOME,2,Suprema Corte dos EUA declara ilegais tarifas globais de TRUMP,SBT News,https://youtu.be/FcRyOFwWW2E?si=rzemdUbgFhRgPt6i,09:44,20/02/2026,29000,POLITICA
21/02/2026,P1,1,HOME,3,Presidente Lula e recebido em cerimonia oficial de de boas-vindas na India,Lula,https://www.youtube.com/live/ezyoGnxTosY?si=sdNJveP-R-zoPquI,11:45,21/02/2026,25000,POLITICA
21/02/2026,P1,1,HOME,4,Ciro Nogueira reage a decisao de Bolsonaro em SC e defende racha de alianca,UOL,https://youtu.be/W1kkDe0SJ3Q?si=dyl62-3LPTTx1iTe,05:35,21/02/2026,8700,POLITICA
21/02/2026,P1,1,HOME,5,"JN: pela primeira vez em 400 anos, integrante do alto escalao da familia real britanica e preso",g1,https://youtu.be/FTva7gu87Xo?si=_8HXGh_AnbUuDBEg,04:17,19/02/2026,189000,POLITICA
21/02/2026,P1,1,HOME,6,Lula se reune com CEO do Google em cupula de AI na India,CNN Brasil,https://youtu.be/ovsN_eNKIZM?si=kyHDiCoG2QidtRuA,03:42,19/02/2026,18000,POLITICA
21/02/2026,P1,1,HOME,7,Trump afirma que vai aumentar 'Tarifa Mundial' de 10% para 15%,Record News,https://youtu.be/SveMK0_Sp2A?si=CEGUnZvFGYwKUWTb,01:24,21/02/2026,6100,POLITICA
21/02/2026,P1,1,HOME,8,Instrutor e aluna morrem apos queda de asa-delta no mar do Rio de Janeiro,CNN Brasil,https://youtu.be/wYgpwmVKmYU?si=vLUdy5FNv88PYm5U,01:01,21/02/2026,5800,POLITICA
21/02/2026,P1,1,HOME,9,LULA FALA EM PRIORIDADE PARA AMPLIAR ACORDOS COMERCIAIS ENTRE MERCOSUL E INDIA,Itatiaia,https://youtu.be/TdfuFlbBUMM?si=pT1ycPOtJ1GiR2XL,13:36,21/02/2026,945,POLITICA
21/02/2026,P1,1,HOME,10,JANJA arrumou BARRACO com a FILHA do LULA no CAMAROTE: CLIMA no CARNAVAL pesou DURANTE DESFILE,ANCAPSU,https://youtu.be/OjBGeLwQkqA?si=RU1ony7gf9q399xP,09:26,20/02/2026,132000,POLITICA
21/02/2026,P1,1,NEXT,1,"JN: na Argentina, deputados aprovam reforma trabalhista proposta pelo governo de Javier Melei",g1,https://youtu.be/nRo3ebw5jYs?si=Yf-6OBdijChrFYQW,02:54,20/02/2026,42000,POLITICA
21/02/2026,P1,1,NEXT,2,Trump anuncia tarifa global de 10% apos decisao da Suprema Corte acabar com tarifaco,SBT News,https://youtu.be/BWUtGlRyFJ0?si=ZHERKL_ISVL-3rGz,05:11,20/02/2026,43000,POLITICA
21/02/2026,P1,1,NEXT,3,"Confira a analise tecnica dos graos, commodities e e dolar - O que Dizem os Graficos",Safras & Mercado,https://youtu.be/7OXgU3B8cTA?si=0hhEK-TPi5YACdrZ,18:56,19/02/2026,60,POLITICA
21/02/2026,P1,1,NEXT,4,IBOVESPA BATE NOVA MAXIMA HISTORICA!,Itatiaia,https://youtu.be/wL4tedtkOmE?si=q0iMx_D6dS9cpb3y,04:34,21/02/2026,181,POLITICA
21/02/2026,P1,1,NEXT,5,"Dolar cai a R$ 5,17, menor valor desde 2024, e Bolsa supera 190 mil pontos",UOL,https://youtu.be/x7KPElByLVI?si=ebj-gVDd3e1CQ2xf,01:33,20/02/2026,7100,POLITICA
21/02/2026,P1,1,NEXT,6,Donal Trump vai liberar arquivos sobre ETs; entenda,Band Jornalismo,https://youtu.be/3I_cFSjTrtw?si=8TPfAMipfZ4hRnW5,01:49,20/02/2026,81000,POLITICA
21/02/2026,P1,1,NEXT,7,JN: bom momento do mercado de trabalho no Brasil nao escondem desigualdades que ainda existem,g1,https://youtu.be/M0dRzW4Tojs?si=P4yFrSUS4sbyfdV6,02:35,20/02/2026,6500,POLITICA
21/02/2026,P1,1,NEXT,8,Trump chama juizes da Suprema Corte dos EUA de 'canalhas' apos a derrubada do tarifaco,g1,https://youtu.be/eiqoRZPPAjI?si=lCH1_gV0g5t9-NI5,02:19,21/02/2026,55000,POLITICA
21/02/2026,P1,1,NEXT,9,"Dolar recua para R$ 5,17 e atinge menor patamar em quase 2 anos apos decisao nos EUA",Jovem Pan News,https://youtu.be/PEK0O8bq-dY?si=FXO9LGxIDJFGX5Y7,03:37,20/02/2026,624,POLITICA
21/02/2026,P1,1,NEXT,10,Trump eleva tarifas para 15% e analise aponta riscos politicos e economicos; entenda,TIMES BRASIL ,https://youtu.be/zrbvW-qvBbI?si=BHffw1FiWtT-VWn2,13:42,21/02/2026,766,POLITICA
21/02/2026,P2,1,HOME,1,10 SEGREDOS DA NEUROCIENCIA para que nada (e ninguem) te afete,Mariana Santos,https://youtu.be/Z_awCa8Ko_M?si=ZuPbOH5hPSW14Xd_,22:43,15/02/2026,83000,FITNESS
21/02/2026,P2,1,HOME,2,10 formas de ser visto como referencia,Carol Iasmim,https://youtu.be/6qQW00leg5I?si=xS3E-f4S1OjX_xNc,28:23,09/02/2026,35000,FITNESS
21/02/2026,P2,1,HOME,3,Treino de POSTERIOR DE COXA  Completo (Baseado na Ciencia),Laercio Refundini,https://youtu.be/I85_HMUQiUk?si=aaHQwC_QVORWEfjD,08:13,04/08/2023,853000,FITNESS
21/02/2026,P2,1,HOME,4,BRACOS DEFINIDOS EM 20 minutos - Treino em casa,Vane Fit,https://youtu.be/FngDojKgkJM?si=0Lg59tQsjjxh4Fxd,03:41,10/02/2026,1200,FITNESS
21/02/2026,P2,1,HOME,5,TREINO DE PERNAS E GLUTEOS INTENSO EM CASA,Wany Santos,https://youtu.be/E_Il7glQfY0?si=txg0R3feIqCRSCjs,20:27,21/02/2026,64,FITNESS
21/02/2026,P2,1,HOME,6,PAOZINHO de GEMAS com 3 INGREDIENTES 7g de Proteina e SEM FARINHA,Voce Magra,https://youtu.be/5KQB0-IVFpU?si=JBeSWSVHcEJv7zOf,07:00,05/01/2026,390000,FITNESS
21/02/2026,P2,1,HOME,7,como ganhar 10 mil reais trabalhando de casa,Ecomka,https://youtu.be/M_XpS8G7FDU?si=diflhcl9JZjNUwgy,15:42,18/02/2026,4200,FITNESS
21/02/2026,P2,1,HOME,8,NUNCA MAIS precise do BULGARO para empinar o gluteo,Tay Training,https://youtu.be/yuhiRo-n9Uo?si=Rm_C51NIw4qcPoLe,09:10,04/11/2025,60000,FITNESS
21/02/2026,P2,1,HOME,9,"Se MEXE C#R#LH0, Va Atras Dos Seus Sonhos",Clovis de Barros,https://youtu.be/qy9Fwsg-L1g?si=ITBhsfQvO5WulUPq,02:45,18/02/2026,256000,FITNESS
21/02/2026,P2,1,HOME,10,"Rotina produtiva (de verdade) as 4 da manha:habitos, treino, dicas",Renata Lima,https://youtu.be/hTnVuaVl_4M?si=rlZYOh0FYVq50EPZ,25:32,02/05/2026,199000,FITNESS
21/02/2026,P2,1,NEXT,1,Bracos secos e definidos com 3 dicas simples,Tay Training,https://youtu.be/01EggU0_guo?si=oE-__OIVThf-RC_n,11:26,27/05/2025,148000,FITNESS
21/02/2026,P2,1,NEXT,2,Pos-Treino para Pernas e Bumbum ,Dayanne Lins,https://youtu.be/I2tA8DiTS2Q?si=D2Hvwr1e_OnD92TX,06:17,12/08/2025,229000,FITNESS
21/02/2026,P2,1,NEXT,3,Quebrar o Ciclo Vicioso da Dor Pode Estar Destruindo Voce (cuidados no autruismo),Augusto Cury - a gesao da emocao,https://youtu.be/YD9p1u5w3jA?si=Ebhb8WnR_e-8jSC7,13:33,20/02/2025,3,FITNESS
21/02/2026,P2,1,NEXT,4,Como Aumentar de Peso de Forma Saudavel,Dayanne Lins,https://youtu.be/TCPpzJMW1a8?si=fKqZBD6i3Z18JYuf,08:04,02/08/2025,328000,FITNESS
