perfil,dia,fonte,posicao,posicao_mmr,canal,tema,titulo,url
P1,1,HOME,1,1,Gustavo Gayer Deputado Federal,POLITICA,BATEU O DESESPERO - LULA recebe pesquisas internas mostrando Flavio na frente,https://youtu.be/9m9cLQuVMV4?si=US-q9PnCfA0fo1xk
P1,1,HOME,2,2,SBT News,POLITICA,Suprema Corte dos EUA declara ilegais tarifas globais de TRUMP,https://youtu.be/FcRyOFwWW2E?si=rzemdUbgFhRgPt6i
P1,1,HOME,3,3,Lula,POLITICA,Presidente Lula e recebido em cerimonia oficial de de boas-vindas na India,https://www.youtube.com/live/ezyoGnxTosY?si=sdNJveP-R-zoPquI
P1,1,HOME,4,4,UOL,POLITICA,Ciro Nogueira reage a decisao de Bolsonaro em SC e defende racha de alianca,https://youtu.be/W1kkDe0SJ3Q?si=dyl62-3LPTTx1iTe
P1,1,HOME,5,5,g1,POLITICA,"JN: pela primeira vez em 400 anos, integrante do alto escalao da familia real britanica e preso",https://youtu.be/FTva7gu87Xo?si=_8HXGh_AnbUuDBEg
P1,1,HOME,6,6,CNN Brasil,POLITICA,Lula se reune com CEO do Google em cupula de AI na India,https://youtu.be/ovsN_eNKIZM?si=kyHDiCoG2QidtRuA
P1,1,HOME,7,7,Record News,POLITICA,Trump afirma que vai aumentar 'Tarifa Mundial' de 10% para 15%,https://youtu.be/SveMK0_Sp2A?si=CEGUnZvFGYwKUWTb
P1,1,HOME,9,8,Itatiaia,POLITICA,LULA FALA EM PRIORIDADE PARA AMPLIAR ACORDOS COMERCIAIS ENTRE MERCOSUL E INDIA,https://youtu.be/TdfuFlbBUMM?si=pT1ycPOtJ1GiR2XL
P1,1,HOME,10,9,ANCAPSU,POLITICA,JANJA arrumou BARRACO com a FILHA do LULA no CAMAROTE: CLIMA no CARNAVAL pesou DURANTE DESFILE,https://youtu.be/OjBGeLwQkqA?si=RU1ony7gf9q399xP
P1,1,HOME,8,10,CNN Brasil,POLITICA,Instrutor e aluna morrem apos queda de asa-delta no mar do Rio de Janeiro,https://youtu.be/wYgpwmVKmYU?si=vLUdy5FNv88PYm5U
P1,1,NEXT,1,1,g1,POLITICA,"JN: na Argentina, deputados aprovam reforma trabalhista proposta pelo governo de Javier Melei",https://youtu.be/nRo3ebw5jYs?si=Yf-6OBdijChrFYQW
P1,1,NEXT,2,2,SBT News,POLITICA,Trump anuncia tarifa global de 10% apos decisao da Suprema Corte acabar com tarifaco,https://youtu.be/BWUtGlRyFJ0?si=ZHERKL_ISVL-3rGz
P1,1,NEXT,3,3,Safras & Mercado,POLITICA,"Confira a analise tecnica dos graos, commodities e e dolar - O que Dizem os Graficos",https://youtu.be/7OXgU3B8cTA?si=0hhEK-TPi5YACdrZ
