perfil,dia,fonte,n,pos_min,pos_max
P1,1,HOME,10,1,10
P1,1,NEXT,10,1,10
P1,2,HOME,10,1,10
P1,2,NEXT,10,1,10
P1,3,HOME,10,1,10
P1,3,NEXT,10,1,10
P1,4,HOME,10,1,10
P1,4,NEXT,10,1,10
P1,5,HOME,10,1,10
P1,5,NEXT,10,1,10
P2,1,HOME,10,1,10
P2,1,NEXT,10,1,10
P2,2,HOME,10,1,10
P2,2,NEXT,10,1,10
P2,3,HOME,10,1,10
P2,3,NEXT,10,1,10
P2,4,HOME,10,1,10
P2,4,NEXT,10,1,10
P2,5,HOME,10,1,10
P2,5,NEXT,10,1,10
P3,1,HOME,10,1,10
P3,1,NEXT,10,1,10
P3,2,HOME,10,1,10
P3,2,NEXT,10,1,10
P3,3,HOME,10,1,10
P3,3,NEXT,10,1,10
P3,4,HOME,10,1,10
P3,4,NEXT,10,1,10
P3,5,HOME,10,1,10
P3,5,NEXT,10,1,10
P4,1,HOME,10,1,10
P4,1,NEXT,10,1,10
P4,2,HOME,10,1,10
P4,2,NEXT,10,1,10
P4,3,HOME,10,1,10
P4,3,NEXT,10,1,10
P4,4,HOME,10,1,10
P4,4,NEXT,10,1,10
P4,5,HOME,20,1,10
